week_start,project_gid,project_name,task_name,actual_time_minutes
2025-03-24,1209560058794355,Bambee - Client Support,keda timeline,20
2025-04-28,1210137657914113,Haven - Stable Upgrade,Notification of ProductionUpgrade Completion,
2025-03-10,1209589167360782,Bambee - Client Onboarding,Destroy Old Cluster,
2025-03-10,1209550293985387,Implentio - Onboarding,Implement the optimized backup solution with Snappy compression,60
2025-04-28,1210137658881168,Bambee Stable Upgrade,Notification of ProductionUpgrade Completion,
2025-03-03,1209550293985387,Implentio - Onboarding,Q: Upgrade metabase first or after? ,5
2025-04-14,1209560058794355,Bambee - Client Support,bambee AWS Config Cost,27
2025-04-28,1210137658881180,Hudson Stable Upgrade,Upgrade Kick Off Meeting,
2025-03-03,1209550293985387,Implentio - Onboarding,Upgrade implentio_workflow to hash at the module level,
2025-03-03,1209589167360782,Bambee - Client Onboarding,"bambee message, freeze during the cut-over and dual bumps after",
2025-03-24,1209560058794355,Bambee - Client Support,Cost review,
2025-03-17,1209560058794355,Bambee - Client Support,Task Service Build not automatically building and deploying,119
2025-03-10,1209560058794355,Bambee - Client Support,Netlify Contract Renewal,
2025-03-24,1209560058794355,Bambee - Client Support,rds extended support,
2025-03-03,1209589167360782,Bambee - Client Onboarding,Sync version in target production cluster,483
2025-04-28,1210137657914113,Haven - Stable Upgrade,Stage Testing Successful Confirmation,
2025-04-28,1210137658881180,Hudson Stable Upgrade,Stage Upgrade Complete,
2025-03-24,1209560058794355,Bambee - Client Support,Netlify Contract Renewal Notification and Timeline,15
2025-04-28,1210137658881174,Implentio Stable Upgrade,Notification of ProductionUpgrade Completion,
2025-04-07,1209560058794355,Bambee - Client Support,nate dev shell not building,62
2025-03-17,1209560058794355,Bambee - Client Support,unable to deploy,65
2025-03-03,1209589167360782,Bambee - Client Onboarding,Utilize Compute Savings Plan Credits,121
2025-03-03,1209550293985387,Implentio - Onboarding,Production Environment Upgrade to edge.25-02-28,
2025-04-07,1209560058794355,Bambee - Client Support,retry webhook deploy trigger,
2025-04-28,1210137658881168,Bambee Stable Upgrade,Confirmation of successful upgrade and monitoring,
2025-04-28,1210131895437231,Haven - Client Support,Fix the sequential deployment issue to allow API and web to deploy in parallel,
2025-04-07,1209560058794355,Bambee - Client Support,restart sensors on cron like nats,
2025-03-24,1209550294079397,Implentio - Support,dlq eventbus,47
2025-04-07,1209560058794355,Bambee - Client Support,apollo gql change not showing up,7
2025-04-28,1210137657914113,Haven - Stable Upgrade,Monitor Production,
2025-04-21,1209906286845556,Haven - Client Onboarding,Deploying Web to Stage,130
2025-03-17,1209560058794355,Bambee - Client Support,Trial Conversion Error,13
2025-04-28,1210137658881174,Implentio Stable Upgrade,Upgrade Notification,
